name,university,openalex_author_id,openalex_works_count,macro_tags,llm_study_tags,openalex_france_collab,french_institution_names,french_collab_topics,link_france,french_study_focus,france_connection_type
Allen J. Christenson,BYU,https://openalex.org/A5077957861,56,"Anthropology & Ethnography of Art, Mesoamerican art, Pre-Columbian art, Religion & Sacred Art, Indigenous & Native Arts, Latin American Art, Other / Uncategorized, Prehistoric & Ancient Art, Colonial & Imperial Art","Maya civilization, Mesoamerican art, Pre-Columbian art, Maya religion, Maya mythology, Popol Vuh, Maya ceremonies, World renewal rituals, Maya highlands, Maya altarpieces, Santiago Atitlan, Maya sacred trees, Maya feasting rituals, Mesoamerican myths, Sacred mountains, Cofradía ceremonies, Piedras Negras monuments, Maya identity, Maya heroes, Maya dynastic drama, Rabinal Achi, Maya creation rituals, Animal symbolism in Mesoamerica, Postclassic period, Maya palaces, Elite Maya residences, Maya Christian manuscripts, Chilam Balam texts, Izapa sculpture, Maya calendar codes, Eschatological architecture, Liturgical theatrics, New Spain colonial art, Virgin Mary in conquest, Spanish conquest of Maya, Maya ancestral vision, Blood memory, Tz’utujil cosmology, Yucatan rituals, Post-conquest Maya ceremonies, Folk saints, Religious transformation in Maya Guatemala, Christian Pentecostal revitalization, K’iche’ language, K’iche’ land titles, K’iche’ history and traditions, K’iche’ orthography, Maya synthesis of theologia indorum, Maya linguistic studies, Guatemala, Highland Maya communities, Maya harvest festivals, Book of Mormon and Maya, Maya sacred texts, Maya art and society",no,,,No,,none
Robert L. Colson,BYU,https://openalex.org/A5010076710,4,"Other / Uncategorized, Art Theory & Aesthetics, Politics & Ideology in Art, African Art & Diaspora, Performance Art, Postcolonial & Decolonial Studies, Literary and art intersections","African literature, narrative time, political dictatorship, African dictators, Ngũgĩ wa Thiong'o, Wizard of the Crow, performance of madness, resistance in literature, Nuruddin Farah, Close Sesame, postcolonial studies, African narrative, literary analysis",no,,,No,,none
Douglas Cunningham,BYU,https://openalex.org/A5084923819,64,"Other / Uncategorized, Public health, Science, Technology & Art","neonatology, preterm infants, respiratory distress syndrome, infant pulmonary function, neonatal intensive care, surfactant therapy, machine learning in neonatology, neonatal morbidity, fetal lung maturation, diabetic pregnancy, neonatal nutrition, feeding practices in neonates, neonatal respiratory failure, non-invasive ventilation, neonatal neurological outcomes, neonatal allergy, pediatric pulmonary disease, neonatal cardiac arrest, neonatal hyperglycemia, animal nutrition, ruminant digestion, dairy cow nutrition, veal calf growth, animal physiology, selenium and vitamin E in neonates, neonatal intensive care training, neonatal monitoring techniques, neonatal surfactant biochemistry, neonatal pulmonary hypertension, neonatal feeding schedules, neonatal developmental follow-up, neonatal hypoxemia, neonatal pulmonary vaso-reactivity, neonatal digoxin therapy, neonatal transillumination, neonatal birth weight outcomes, neonatal pulmonary complications, neonatal infection control, neonatal allergy and intolerance, neonatal vaccine contraindications, neonatal clinical procedures, neonatal care in critical illness, neonatal surfactant cholesterol, animal feed supplements, corn stover silage, sorghum-sudangrass, ruminant dietary urea, neonatal pulmonary surfactant inhibitors, neonatal pulmonary disease diagnostics, neonatal pulmonary therapy, neonatal pulmonary monitoring, neonatal pulmonary complications in diabetes, neonatal pulmonary surfactant dysfunction, neonatal pulmonary disease treatment, neonatal pulmonary disease outcomes, neonatal pulmonary disease epidemiology",no,,,No,,none
Marlene Hansen Esplin,BYU,https://openalex.org/A5049988626,16,"Other / Uncategorized, Literary and art intersections, Anthropology & Ethnography of Art, Mixed & Interdisciplinary Media, Postcolonial & Decolonial Studies, Contemporary Art (21st century), Colonial & Imperial Art, Latin American Art, American Art (United States)","translation studies, self-translation, multilingualism, literary translation, translation activism, ethnographic translation, image-text art, Caribbean literature, Latinx literature, U.S. literature, Latin American literature, Spanish language literature, English language literature, immigration and language, linguistic identity, global South, pandemic and translation, multiethnic literature, translation and ethnicity, translation and independence, translation and home, translation and gossip, Celia Alvarez Muñoz, Gloria Anzaldúa, Margarita Cota-Cárdenas, Rosario Ferré, Chimamanda Ngozi Adichie, Cabeza de Vaca, AmazonCrossing, Caribbean, United States, Latin America",yes,Université Bordeaux Montaigne,Article: 'Reviews of Books' (2020) - Co-publication institutionnelle,No,,collab
Jane Hinckley,BYU,https://openalex.org/A5042204621,156,"Other / Uncategorized, British Art, American Art (United States), Baroque Art, Rococo & 18th-Century Art, 19th-Century Art, Gender & Feminist Art History, Religion & Sacred Art, Archives & Libraries, Social History, Book Arts & Manuscripts, Power, Empire & Resistance, Politics & Ideology in Art, Race & Black Visual Culture, Colonial & Imperial Art, Patronage & Sponsorship, French Art & Culture","family life, England, America, 17th century, 18th century, 19th century, women's history, marriage, property law, probate records, wills, genealogy, children's literature, poetry, religion, Methodism, Quakers, ecclesiastical courts, sexual morals, divorce, separation, domestic violence, female physicians, female education, juvenile literature, epistolary literature, letters, correspondence, mourning, death, slavery, emancipation, enslaved people, African American history, abolitionism, plantation economy, southern United States, colonial America, New England, Massachusetts, Virginia, South Carolina, Pennsylvania, London, parish records, social history, family businesses, household management, voluntary associations, instructional guides, courtship, genealogy of aristocrats, poor communities, female communities, female poets, Anna Letitia Barbauld, Lady Mary Wortley Montagu, Charlotte Turner Smith, Phillis Wheatley, Dido Elizabeth Belle, Olaudah Equiano, Abbé d'Ancourt, French literature, French Enlightenment, French religious thought, French cultural influence, French language texts",no,,,No,"parish records, French literature, French Enlightenment, French religious thought, French cultural influence, French language texts",study
Lisa Gunther,BYU,https://openalex.org/A5077495822,18,"Environmental & Ecological Art, Other / Uncategorized, Cultural Policy, Science, Technology & Art, Body, Identity & Representation, Visual Culture Studies, Classical Antiquity, Historiography of Art, Archives & Libraries, Museum Studies","environmental justice, transboundary governance, fish consumption advisories, Upper St. Lawrence River, policy analysis, scientific analysis, visualization of sexual desire, sexual desire studies, normalization of sexuality, visual culture, phronetic management, practical wisdom, management education, ethical management practices, Aristotelian philosophy, phronesis, historical thinking concepts, inequality studies, United States history, 1940-2020 US history, career exploration, teen issues, library science, research guides, educational resources, high school education, no direct link to France",no,,,No,no direct link to France,study
Rachael Givens Johnson,BYU,https://openalex.org/A5053975161,4,"Rococo & 18th-Century Art, Baroque Art, Early Modern Art, Iberian Art, Latin American Art, Religion & Sacred Art, Other / Uncategorized, Visual Culture Studies, Colonial & Imperial Art, Literary and art intersections, Anthropology & Ethnography of Art","18th-century art, baroque material culture, enlightenment period, Iberian world, Spanish art, New Spain, religious poetry, nun poets, social imaginaries, charity and common good, reformed religious thought, colonial Latin America, literary studies, historical material culture, Spanish colonial art, early modern Iberian studies",no,,,No,,none
Nate Kramer,BYU,https://openalex.org/A5056288355,9,"Other / Uncategorized, Sculpture, Medieval Western Art, Art Theory & Aesthetics, Literary and art intersections, War, Conflict & Memory, Visual Culture Studies","memory studies, memorial culture, sculpture, gravestones, aesthetic memory, literary memory, 1990s Swedish literature, trauma and memory, 22 July attacks, Norwegian contemporary history, visual culture, Nordic studies, Scandinavian academic publishing",no,,,No,,none
Natalie Nielson,BYU,https://openalex.org/A5035116621,3,"Other / Uncategorized, Health & Physical Activity, Labor, Class & Social History","education evaluation, early college high school, health education, physical education, nursing work environment, workplace conditions, student research, healthcare workforce",no,,,No,,none
Christopher Oscarson,BYU,https://openalex.org/A5042671539,12,"Other / Uncategorized, Film & Cinema, Environmental & Ecological Art, Museum Studies, Body, Identity & Representation, Cultural History, American Art (United States), Literary and art intersections, Religion & Sacred Art, Anthropology & Ethnography of Art, European Art (General), Transnational Circulation","Scandinavian studies, Swedish literature, Swedish film, documentary film, ecocriticism, ecology and art, anthropocene, cinematic landscapes, natural history, museum studies, nature and nation, local and global relations, toxic environments, cultural celebrations, Swedish American culture, literary analysis, speech and ritual, historical ecology, Carl Linnaeus, Oscar Levertin, Kerstin Ekman, Bernard Foy, Sweden, Swedish American summer celebrations, 20th century Scandinavian culture, globalization and place, ecological subjectivity",no,,,No,,none
Joseph Parry,BYU,https://openalex.org/A5069907844,28,"Historiography of Art, Art Theory & Aesthetics, Medieval Western Art, Other / Uncategorized, Literary and art intersections, Religion & Sacred Art, Renaissance Art, Visual Culture Studies, British Art","art history, phenomenology, medieval literature, early modern literature, literary criticism, narrative theory, female agency in literature, Middle English romance, Arthurian studies, medieval English poetry, Renaissance literature, Chaucer studies, Spenser studies, literary history, religious controversies in literature, Christian and pagan devotion, mourning and grief in literature, quattrocento annunciation paintings, Bakhtin and medieval voices, literary narrators and messengers, medieval maps, humour in media for social awareness, Botticelli studies, poetry and antiquarianism, clerical proletariat in medieval poetry, Jean-Luc Marion and Spenser, trees in literature, England, Oxford University Press, D.S. Brewer publications, Philadelphia University of Pennsylvania Press, Notre Dame University Press, medieval and early modern eras, 14th century English literature, 15th century Italian art, medieval and Renaissance art, literary and art intersections",no,,,No,,none
Carl H. Sederholm,BYU,https://openalex.org/A5041643836,49,"Other / Uncategorized, American Art (United States), Contemporary Art (21st century), Gender & Feminist Art History, Film & Cinema, Religion & Sacred Art, Gothic Art, Art Theory & Aesthetics, Postwar Art (1945–1970s), Sound Art & Music","Gothic literature, American Gothic, H. P. Lovecraft studies, Edgar Allan Poe studies, Stephen King studies, Heavy metal adaptations, Popular culture adaptations, Cosmic horror, The uncanny, Domestic horror, Feminist Gothic, New Weird genre, Horror film studies, Adaptation studies, Religion and spirituality in Gothic, Catholicism and Gothic, 19th-century Gothic novels, Southern sentimental novel, Slavery in literature, American literature, Supernatural fiction, Television horror, Consumerism in horror, Narrative imagination, Memorial retrospectives, Metal music and culture, John Carpenter films, Tobe Hooper films, Race in contemporary Gothic, Literature and film intersections, Charlotte Perkins Gilman, Robert Bloch, George A. Romero, Jack Torrance character, Rosemary’s Baby film, The Haunting of Hill House, The Turn of the Screw, The Mangler film, Duma Key novel, American culture and fear, Gothic and Catholicism, Domestic sentimental novel, Spiritual meanings in American solitude, Popular novel 1785–1829, Gothic literary studies, No explicit links to France",no,,,No,No explicit links to France,study
Charlotte A Stanford,BYU,https://openalex.org/A5045027283,42,"Medieval Western Art, Gothic Art, War, Conflict & Memory, Religion & Sacred Art, Book Arts & Manuscripts, Sculpture, Textiles & Material Culture, French Art & Culture, Paris & Île-de-France, European Art (General), British Art, Renaissance Art, Design & Decorative Arts, Architecture, Craft & Vernacular Practices","medieval art, medieval architecture, late medieval period, Gothic architecture, cathedral studies, commemoration and memory, funerary art, religious imagery, medieval urban culture, medieval manuscripts, medieval sculpture, medieval clothing and textiles, medieval social history, medieval religion, medieval patronage, medieval civic identity, medieval shrines, medieval elites, medieval women representation, medieval marriage and emotion, medieval guilds, French Gothic architecture, Notre-Dame Cathedral, Strasbourg Cathedral, St. Catherine Chapel Strasbourg, French medieval cathedrals, French medieval religious institutions, French medieval urban history, French medieval commemoration practices, Paris, Strasbourg, Westminster, English medieval cathedrals, St. Stephen’s Chapel Westminster, Nuremberg medieval culture, Beverley Minster, Trondheim Cathedral, Henry VIII court art, medieval manuscript illumination, medieval food and commemoration, Franciscan nuns, medieval donations and apparel, medieval social and artistic power, medieval civic rivalry, medieval poverty, medieval prostitution, medieval royal and elite households, medieval urban conflict, medieval book of donors, medieval religious cults, medieval public monuments, medieval landscape, medieval gold and silver art, medieval church buttresses, medieval bilingual guild ordinances, medieval Dutch hatmakers, medieval manuscript collections, medieval art history, medieval cultural memory",no,,,Yes,"French Gothic architecture, French medieval cathedrals, French medieval religious institutions, French medieval urban history, French medieval commemoration practices, Paris",study
Marc Yamada,BYU,https://openalex.org/A5077966474,17,"Film & Cinema, Other / Uncategorized, Postmodern Art, War, Conflict & Memory, Historiography of Art, East Asian Art, Contemporary Art (21st century), Religion & Sacred Art, Graphic Arts & Illustration, Japanese cultural trauma, Japanese art history","Japanese film studies, Japanese literature studies, postmodern culture, trauma studies, historical referentiality, memory studies, cinematic adaptations, documentary and fiction, regionalization in East Asian cinema, Heisei period, post-Aum Shinrikyo cultural representations, post-bubble Japan, alternate history fiction, rituals of remembering, personal memory and public history, Murakami Haruki, Kurosawa Kiyoshi, Kore-eda Hirokazu, Japanese manga studies, Japanese postmodern fiction, East Asian action cinema, film and hierophany, Japanese lost decades, Japanese cultural trauma, Japanese historical imagination",no,,,No,,none
